Acl,2.2.53,http://download.savannah.gnu.org/releases/acl/acl-@.tar.gz,007aabf1dbb550bcddde52a244cd1070
Attr,2.4.48,http://download.savannah.gnu.org/releases/attr/attr-@.tar.gz,bc1e5cb5c96d99b24886f1f527d3bb3d
Autoconf,2.69,http://ftp.gnu.org/gnu/autoconf/autoconf-@.tar.xz,50f97f4159805e374639a73e2636f22e
Automake,1.16.2,http://ftp.gnu.org/gnu/automake/automake-@.tar.xz,6cb234c86f3f984df29ce758e6d0d1d7
Bash,5.0,http://ftp.gnu.org/gnu/bash/bash-@.tar.gz,2b44b47b905be16f45709648f671820b
Bc,3.1.5,https://github.com/gavinhoward/bc/releases/download/@/bc-@.tar.xz,bd6a6693f68c2ac5963127f82507716f
Binutils,2.35,http://ftp.gnu.org/gnu/binutils/binutils-@.tar.xz,fc8d55e2f6096de8ff8171173b6f5087
Bison,3.7.1,http://ftp.gnu.org/gnu/bison/bison-@.tar.xz,e7c8c321351ebdf70f5f0825f3faaee2
Bzip2,1.0.8,https://www.sourceware.org/pub/bzip2/bzip2-@.tar.gz,67e051268d0c475ea773822f7500d0e5
Check,0.15.2,https://github.com/libcheck/check/releases/download/@/check-@.tar.gz,50fcafcecde5a380415b12e9c574e0b2
Coreutils,8.32,http://ftp.gnu.org/gnu/coreutils/coreutils-@.tar.xz,022042695b7d5bcf1a93559a9735e668
DejaGNU,1.6.2,http://ftp.gnu.org/gnu/dejagnu/dejagnu-@.tar.gz,e1b07516533f351b3aba3423fafeffd6
Diffutils,3.7,http://ftp.gnu.org/gnu/diffutils/diffutils-@.tar.xz,4824adc0e95dbbf11dfbdfaad6a1e461
E2fsprogs,1.45.6,https://downloads.sourceforge.net/project/e2fsprogs/e2fsprogs/v@/e2fsprogs-@.tar.gz,cccfb706d162514e4f9dbfbc9e5d65ee
Elfutils,0.180,https://sourceware.org/ftp/elfutils/@/elfutils-@.tar.bz2,23feddb1b3859b03ffdbaf53ba6bd09b
Eudev,3.2.9,https://dev.gentoo.org/~blueness/eudev/eudev-@.tar.gz,dedfb1964f6098fe9320de827957331f
Expat,2.2.9,https://prdownloads.sourceforge.net/expat/expat-@.tar.xz,d2384fa607223447e713e1b9bd272376
Expect,5.45.4,https://prdownloads.sourceforge.net/expect/expect@.tar.gz,00fce8de158422f5ccd2666512329bd2
File,5.39,ftp://ftp.astron.com/pub/file/file-@.tar.gz,1c450306053622803a25647d88f80f25
Findutils,4.7.0,http://ftp.gnu.org/gnu/findutils/findutils-@.tar.xz,731356dec4b1109b812fecfddfead6b2
Flex,2.6.4,https://github.com/westes/flex/releases/download/v@/flex-@.tar.gz,2882e3179748cc9f9c23ec593d6adc8d
Gawk,5.1.0,http://ftp.gnu.org/gnu/gawk/gawk-@.tar.xz,8470c34eeecc41c1aa0c5d89e630df50
GCC,10.2.0,http://ftp.gnu.org/gnu/gcc/gcc-@/gcc-@.tar.xz,e9fd9b1789155ad09bcf3ae747596b50
GDBM,1.18.1,http://ftp.gnu.org/gnu/gdbm/gdbm-@.tar.gz,988dc82182121c7570e0cb8b4fcd5415
Gettext,0.21,http://ftp.gnu.org/gnu/gettext/gettext-@.tar.xz,40996bbaf7d1356d3c22e33a8b255b31
Glibc,2.32,http://ftp.gnu.org/gnu/glibc/glibc-@.tar.xz,720c7992861c57cf97d66a2f36d8d1fa
GMP,6.2.0,http://ftp.gnu.org/gnu/gmp/gmp-@.tar.xz,a325e3f09e6d91e62101e59f9bda3ec1
Gperf,3.1,http://ftp.gnu.org/gnu/gperf/gperf-@.tar.gz,9e251c0a618ad0824b51117d5d9db87e
